"","x"
"transient2",0.823333274596204
"ppk322",0.8371717219204
"ppk203",0.937702651768244
"ppk306",0.944327155587907
"transient receptor potential cation channel protein painless",0.999064378480957
"Tmem63",1.47407940139359
"mucolipin",1.58550284967644
"transmembrane channel-like protein 5",1.59939774575083
"piezo-type mechanosensitive ion channel component",1.63103063277502
"pain",1.72380467683722
